TILEMAP
24 72							-- Size of tile map in tiles
16 32 							-- Tile size & block size
images/blocks.png 	-- Tilesheet
2 2 								-- Number of tiles in tilesheet
111111111111111111111111
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
1111111       1111111111
1111111BBBBBBB1111111111
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11 k                  11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
1111111       1111111111
1111111AAAAAAA1111111111
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11  d d d c c c       11
11                    11
11                    11
11k                   11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
11                    11
1111111       1111111111
                                    
                                    
                                    
